IATA_CODE,AIRLINE,COUNTRY
UA,United Air Lines Inc.,United States
AA,American Airlines Inc.,United States
US,US Airways Inc.,United States
F9,Frontier Airlines Inc.,United States
B6,JetBlue Airways,United States
OO,Skywest Airlines Inc.,Australia
AS,Alaska Airlines Inc.,United States
NK,Spirit Air Lines,Sudan
WN,Southwest Airlines Co.,United States
DL,Delta Air Lines Inc.,United States
EV,Atlantic Southeast Airlines,United States
HA,Hawaiian Airlines Inc.,United States
MQ,American Eagle Airlines Inc.,United States
VX,Virgin America,United States
